,image_name,pitchNegative,yawPositive,pitchYawPositive
34,00034.jpeg,1.616146471730586,1.7512265842615315,2.6936784181694784
35,00035.jpeg,1.54439715405041,1.9094173521903284,2.7921985675144327
36,00036.jpeg,1.5228657955818439,1.831117449934669,2.8994333446359435
37,00037.jpeg,1.624425964749309,1.914432572167161,2.733038811419389
38,00038.jpeg,1.5749260522108803,2.2341334353798428,2.827822414997029
39,00039.jpeg,1.6339050165370714,1.9974598880780103,2.898530862352479
40,00040.jpeg,1.6195031888458495,2.218784697377242,2.9526025545440184
41,00041.jpeg,1.7198716756048593,2.200776524730717,3.0646553136937227
42,00042.jpeg,1.752209076438555,2.0865387028183777,3.0778730449698095
43,00043.jpeg,1.6208782111959963,2.2501496913470924,3.0877531831165417
44,00044.jpeg,1.6848017787980702,2.1353268718271163,3.1985568482056026
45,00045.jpeg,1.7448688599862472,2.312401817312325,3.237361619540069
46,00046.jpeg,1.7863985723790905,2.375827268307681,3.395638117059182
47,00047.jpeg,1.7292556990741206,2.279612867171141,3.302992511671866
48,00048.jpeg,1.7825568158665233,2.4931156481202112,3.4017310483498626
49,00049.jpeg,1.8727967037003788,2.324170407864201,3.4345548647329753
50,00050.jpeg,1.7841661899338463,2.6795498250111445,3.332098573118941
51,00051.jpeg,1.6971021629486183,2.4964913192075797,3.49371810077199
52,00052.jpeg,1.7520842559164593,2.679555313963539,3.660932525806387
53,00053.jpeg,1.7727050607895525,2.9199113442625166,3.4564067642637104
54,00054.jpeg,1.790633046703058,2.8217969795855624,3.4333670490181234
55,00055.jpeg,1.7742511495084579,2.8413544694442234,3.541146798936956
56,00056.jpeg,1.9286055019750532,2.6214415553195467,3.3961623287961773
57,00057.jpeg,2.164631850860678,2.6872401001068136,3.348191009478545
58,00058.jpeg,2.057546013855438,2.7875836555809546,3.6900363081940815
59,00059.jpeg,2.2574124638077926,2.8832454666418013,3.4652659604206013
60,00060.jpeg,2.3259889932902587,2.791431533976519,3.7475558310861157
61,00061.jpeg,2.3990581177087313,2.569970802671647,3.8130734781325515
62,00062.jpeg,2.4100690436577095,2.722496342705978,3.8033380565601833
63,00063.jpeg,2.1856886926428656,2.649599921741605,3.858372904046128
64,00064.jpeg,2.0887937339705474,2.76760830952566,4.348352990099838
65,00065.jpeg,2.1145851245887246,2.8847035739434768,4.094826700093816
66,00066.jpeg,2.054067461588822,3.0957915948140338,4.721642864722969
67,00067.jpeg,2.125922969095124,2.9792410047372346,4.276424346749252
68,00068.jpeg,2.0777152081570134,3.0209988459240043,4.452423939674588
69,00069.jpeg,2.1265112623569893,3.057431212701375,4.252155480143681
70,00070.jpeg,2.1041230476743036,3.347017514955973,4.33203345467831
71,00071.jpeg,2.24007352744176,3.2740849293658814,4.279557374727403
72,00072.jpeg,2.089284390935349,3.6684355972214497,4.985552342771985
73,00073.jpeg,2.1125467723269544,3.5678770839245604,4.56850203828483
74,00074.jpeg,2.2762293696096694,3.3896611368872027,4.919707201897474
75,00075.jpeg,2.0516427554850285,3.3393758469115635,4.645050361042856
76,00076.jpeg,2.3803579840602387,3.6302533935619734,4.623450520735419
77,00077.jpeg,2.140326560787744,3.7558563339290227,4.912500164120119
78,00078.jpeg,2.301572067436707,3.8522344676850064,4.834933475445717
79,00079.jpeg,2.588995249230445,3.7335662524313245,4.526173812780973
80,00080.jpeg,2.6433225466227834,3.5437068649661936,4.728391021374772
81,00081.jpeg,2.43744187613558,4.02741104181295,4.562754460933845
82,00082.jpeg,2.390732316061351,4.093963046823738,5.146065084075236
83,00083.jpeg,2.594901818994943,3.7402114213873814,5.514501775688987
84,00084.jpeg,2.569046245293061,4.2231861041784535,5.244899662964777
85,00085.jpeg,2.656301903330096,4.19856578234646,5.7793771556149425
86,00086.jpeg,2.584441800542641,4.071370349247676,5.793582076855593
87,00087.jpeg,2.524006609955436,4.412986209101031,6.520484147912719
88,00088.jpeg,2.457730954705721,4.22901846515586,6.09360730645282
89,00089.jpeg,2.504080833233652,4.135496045248768,7.218523819334938
90,00090.jpeg,2.7824252095471858,4.245053611628803,8.083221752307441
91,00091.jpeg,2.6779544312104453,4.6095302848853486,7.8407592668376465
92,00092.jpeg,2.830879326562514,4.38081381313015,7.372776391851158
93,00093.jpeg,2.825906100618164,4.285825576516181,8.20893644929702
